"ITTER107","Territory","TIPO_DATO_AVQ","Data type","MISURA_AVQ","Measure","TIME","Select time","Value","Flag Codes","Flags"
"ITD1","Provincia Autonoma Bolzano / Bozen","0_ALEAST_1CRON","persons  at least a chronic disease","THV","thousands value","2018","2018",171,,
"ITE1","Toscana","0_ALEAST_1CRON","persons  at least a chronic disease","HSC","per 100 people with the same characteristics","2018","2018",40.9,,
"ITDA","Trentino Alto Adige / Südtirol","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","THV","thousands value","2018","2018",38,,
"ITG2","Sardegna","0_ALEAST_1CRON","persons  at least a chronic disease","HSC","per 100 people with the same characteristics","2018","2018",44.1,,
"ITD2","Provincia Autonoma Trento","0_ALEAST_2CRON","persons  at least two chronic disease","THV","thousands value","2018","2018",86,,
"ITE1","Toscana","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","THV","thousands value","2018","2018",575,,
"ITDA","Trentino Alto Adige / Südtirol","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","HSC","per 100 people with the same characteristics","2018","2018",3.8,,
"ITE4","Lazio","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","THV","thousands value","2018","2018",261,,
"3","metropolitan area - suburbs","0_CHRONIC_HYP","chronic patients - with hypertension","HSC","per 100 people with the same characteristics","2018","2018",17.9,,
"ITG","Isole","0_CHRONIC_GH","persons  with chronic diseases in good health","THV","thousands value","2018","2018",894,,
"ITE","Centro (I)","0_GOOD_H","persons  in good health","THV","thousands value","2018","2018",8411,,
"ITD1","Provincia Autonoma Bolzano / Bozen","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","THV","thousands value","2018","2018",7,,
"ITF4","Puglia","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","HSC","per 100 people with the same characteristics","2018","2018",5.6,,
"ITD3","Veneto","0_CHRONIC_HYP","chronic patients - with hypertension","THV","thousands value","2018","2018",825,,
"ITF3","Campania","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","HSC","per 100 people with the same characteristics","2018","2018",5.8,,
"ITF4","Puglia","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","THV","thousands value","2018","2018",285,,
"ITCD","Nord","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","THV","thousands value","2018","2018",714,,
"8","10,001 - 50,000 inhab.","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","HSC","per 100 people with the same characteristics","2018","2018",2.5,,
"ITE1","Toscana","0_CHRONIC_HEART","chronic patients - suffering from heart disease","HSC","per 100 people with the same characteristics","2018","2018",3.5,,
"ITD3","Veneto","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","HSC","per 100 people with the same characteristics","2018","2018",14.3,,
"ITF3","Campania","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","THV","thousands value","2018","2018",336,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","0_ALEAST_1CRON","persons  at least a chronic disease","THV","thousands value","2018","2018",49,,
"ITF2","Molise","0_CHRONIC_GH","persons  with chronic diseases in good health","THV","thousands value","2018","2018",48,,
"ITFG","Mezzogiorno","0_CHRONIC_HEART","chronic patients - suffering from heart disease","HSC","per 100 people with the same characteristics","2018","2018",3.9,,
"ITG2","Sardegna","0_ALEAST_1CRON","persons  at least a chronic disease","THV","thousands value","2018","2018",724,,
"6","until 2,000 inhab.","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","THV","thousands value","2018","2018",170,,
"ITDA","Trentino Alto Adige / Südtirol","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","HSC","per 100 people with the same characteristics","2018","2018",3.1,,
"ITD1","Provincia Autonoma Bolzano / Bozen","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","HSC","per 100 people with the same characteristics","2018","2018",10.1,,
"ITF6","Calabria","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","HSC","per 100 people with the same characteristics","2018","2018",10.3,,
"ITDA","Trentino Alto Adige / Südtirol","0_GOOD_H","persons  in good health","HSC","per 100 people with the same characteristics","2018","2018",81.1,,
"ITE4","Lazio","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","HSC","per 100 people with the same characteristics","2018","2018",6,,
"ITC","Nord-ovest","0_ALEAST_2CRON","persons  at least two chronic disease","THV","thousands value","2018","2018",3459,,
"7","2,001 - 10,000 inhab.","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","THV","thousands value","2018","2018",717,,
"2","metropolitan area - centre","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","THV","thousands value","2018","2018",522,,
"ITD1","Provincia Autonoma Bolzano / Bozen","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","THV","thousands value","2018","2018",53,,
"ITF3","Campania","0_ALEAST_2CRON","persons  at least two chronic disease","HSC","per 100 people with the same characteristics","2018","2018",21.4,,
"ITCD","Nord","0_ALEAST_1CRON","persons  at least a chronic disease","HSC","per 100 people with the same characteristics","2018","2018",41.9,,
"ITDA","Trentino Alto Adige / Südtirol","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","THV","thousands value","2018","2018",32,,
"ITF1","Abruzzo","0_CHRONIC_HEART","chronic patients - suffering from heart disease","HSC","per 100 people with the same characteristics","2018","2018",3.7,,
"ITD","Nord-est","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","HSC","per 100 people with the same characteristics","2018","2018",3.7,,
"6","until 2,000 inhab.","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","HSC","per 100 people with the same characteristics","2018","2018",6.7,,
"ITD3","Veneto","0_CHRONIC_HYP","chronic patients - with hypertension","HSC","per 100 people with the same characteristics","2018","2018",17,,
"ITE2","Umbria","0_ALEAST_1CRON","persons  at least a chronic disease","THV","thousands value","2018","2018",420,,
"ITD2","Provincia Autonoma Trento","0_GOOD_H","persons  in good health","THV","thousands value","2018","2018",414,,
"ITE1","Toscana","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","HSC","per 100 people with the same characteristics","2018","2018",15.5,,
"ITC1","Piemonte","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","THV","thousands value","2018","2018",299,,
"ITD4","Friuli-Venezia Giulia","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","HSC","per 100 people with the same characteristics","2018","2018",6.1,,
"ITG2","Sardegna","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","HSC","per 100 people with the same characteristics","2018","2018",21.7,,
"ITD2","Provincia Autonoma Trento","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","THV","thousands value","2018","2018",14,,
"ITC1","Piemonte","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","HSC","per 100 people with the same characteristics","2018","2018",9.7,,
"ITF2","Molise","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","HSC","per 100 people with the same characteristics","2018","2018",11.9,,
"ITF4","Puglia","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","THV","thousands value","2018","2018",145,,
"ITG","Isole","0_CHRONIC_GH","persons  with chronic diseases in good health","HSC","per 100 people with the same characteristics","2018","2018",34.5,,
"ITG","Isole","0_ALEAST_2CRON","persons  at least two chronic disease","THV","thousands value","2018","2018",1558,,
"ITD5","Emilia-Romagna","0_ALEAST_1CRON","persons  at least a chronic disease","HSC","per 100 people with the same characteristics","2018","2018",43.3,,
"ITDA","Trentino Alto Adige / Südtirol","0_GOOD_H","persons  in good health","THV","thousands value","2018","2018",856,,
"ITF5","Basilicata","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","THV","thousands value","2018","2018",77,,
"ITD5","Emilia-Romagna","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","THV","thousands value","2018","2018",493,,
"ITE3","Marche","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","HSC","per 100 people with the same characteristics","2018","2018",15.5,,
"ITF6","Calabria","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","THV","thousands value","2018","2018",202,,
"2","metropolitan area - centre","0_ALEAST_2CRON","persons  at least two chronic disease","HSC","per 100 people with the same characteristics","2018","2018",22.2,,
"ITD4","Friuli-Venezia Giulia","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","HSC","per 100 people with the same characteristics","2018","2018",4.1,,
"ITG2","Sardegna","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","THV","thousands value","2018","2018",36,,
"2","metropolitan area - centre","0_CHRONIC_GH","persons  with chronic diseases in good health","HSC","per 100 people with the same characteristics","2018","2018",42.4,,
"ITC3","Liguria","0_CHRONIC_HEART","chronic patients - suffering from heart disease","HSC","per 100 people with the same characteristics","2018","2018",4.1,,
"ITF4","Puglia","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","HSC","per 100 people with the same characteristics","2018","2018",3.6,,
"ITC4","Lombardia","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","HSC","per 100 people with the same characteristics","2018","2018",4.6,,
"ITD3","Veneto","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","THV","thousands value","2018","2018",591,,
"ITE4","Lazio","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","HSC","per 100 people with the same characteristics","2018","2018",5.8,,
"ITE3","Marche","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","HSC","per 100 people with the same characteristics","2018","2018",3.1,,
"ITE2","Umbria","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","THV","thousands value","2018","2018",185,,
"ITF6","Calabria","0_CHRONIC_GH","persons  with chronic diseases in good health","THV","thousands value","2018","2018",233,,
"ITE","Centro (I)","0_ALEAST_2CRON","persons  at least two chronic disease","HSC","per 100 people with the same characteristics","2018","2018",21.1,,
"ITCD","Nord","0_CHRONIC_HYP","chronic patients - with hypertension","HSC","per 100 people with the same characteristics","2018","2018",17.6,,
"ITC","Nord-ovest","0_ALEAST_2CRON","persons  at least two chronic disease","HSC","per 100 people with the same characteristics","2018","2018",21.6,,
"ITF2","Molise","0_ALEAST_2CRON","persons  at least two chronic disease","THV","thousands value","2018","2018",73,,
"ITFG","Mezzogiorno","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","HSC","per 100 people with the same characteristics","2018","2018",6.7,,
"ITC4","Lombardia","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","THV","thousands value","2018","2018",444,,
"ITC1","Piemonte","0_ALEAST_2CRON","persons  at least two chronic disease","THV","thousands value","2018","2018",951,,
"ITD","Nord-est","0_GOOD_H","persons  in good health","THV","thousands value","2018","2018",8125,,
"ITFG","Mezzogiorno","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","THV","thousands value","2018","2018",1023,,
"ITF","Sud","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","THV","thousands value","2018","2018",2364,,
"ITF2","Molise","0_ALEAST_1CRON","persons  at least a chronic disease","HSC","per 100 people with the same characteristics","2018","2018",42.2,,
"ITD","Nord-est","0_ALEAST_2CRON","persons  at least two chronic disease","HSC","per 100 people with the same characteristics","2018","2018",19.5,,
"ITD2","Provincia Autonoma Trento","0_CHRONIC_GH","persons  with chronic diseases in good health","HSC","per 100 people with the same characteristics","2018","2018",55.6,,
"ITC3","Liguria","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","HSC","per 100 people with the same characteristics","2018","2018",5.6,,
"ITD4","Friuli-Venezia Giulia","0_GOOD_H","persons  in good health","HSC","per 100 people with the same characteristics","2018","2018",69,,
"ITC4","Lombardia","0_GOOD_H","persons  in good health","HSC","per 100 people with the same characteristics","2018","2018",69.4,,
"ITG2","Sardegna","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","THV","thousands value","2018","2018",208,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","0_ALEAST_1CRON","persons  at least a chronic disease","HSC","per 100 people with the same characteristics","2018","2018",39.3,,
"ITF3","Campania","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","THV","thousands value","2018","2018",378,,
"ITD","Nord-est","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","THV","thousands value","2018","2018",432,,
"ITFG","Mezzogiorno","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","THV","thousands value","2018","2018",1385,,
"ITF5","Basilicata","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","HSC","per 100 people with the same characteristics","2018","2018",13.6,,
"ITE3","Marche","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","THV","thousands value","2018","2018",47,,
"ITC4","Lombardia","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","HSC","per 100 people with the same characteristics","2018","2018",6.8,,
"ITF","Sud","0_ALEAST_1CRON","persons  at least a chronic disease","THV","thousands value","2018","2018",5486,,
"ITF6","Calabria","0_CHRONIC_HYP","chronic patients - with hypertension","THV","thousands value","2018","2018",363,,
"ITG","Isole","0_CHRONIC_HYP","chronic patients - with hypertension","THV","thousands value","2018","2018",1251,,
"ITF1","Abruzzo","0_GOOD_H","persons  in good health","THV","thousands value","2018","2018",871,,
"ITE1","Toscana","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","THV","thousands value","2018","2018",81,,
"ITC","Nord-ovest","0_CHRONIC_GH","persons  with chronic diseases in good health","HSC","per 100 people with the same characteristics","2018","2018",45.5,,
"ITCD","Nord","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","HSC","per 100 people with the same characteristics","2018","2018",15.7,,
"ITF4","Puglia","0_GOOD_H","persons  in good health","HSC","per 100 people with the same characteristics","2018","2018",68.5,,
"ITD4","Friuli-Venezia Giulia","0_GOOD_H","persons  in good health","THV","thousands value","2018","2018",833,,
"ITE","Centro (I)","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","HSC","per 100 people with the same characteristics","2018","2018",5.9,,
"ITG","Isole","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","HSC","per 100 people with the same characteristics","2018","2018",11,,
"ITC1","Piemonte","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","HSC","per 100 people with the same characteristics","2018","2018",6.9,,
"ITCD","Nord","0_CHRONIC_HYP","chronic patients - with hypertension","THV","thousands value","2018","2018",4852,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","HSC","per 100 people with the same characteristics","2018","2018",1.3,,
"ITC4","Lombardia","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","HSC","per 100 people with the same characteristics","2018","2018",4.4,,
"ITF","Sud","0_CHRONIC_HYP","chronic patients - with hypertension","THV","thousands value","2018","2018",2663,,
"ITG1","Sicilia","0_CHRONIC_GH","persons  with chronic diseases in good health","THV","thousands value","2018","2018",596,,
"ITF1","Abruzzo","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","THV","thousands value","2018","2018",98,,
"ITE2","Umbria","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","HSC","per 100 people with the same characteristics","2018","2018",13,,
"ITF6","Calabria","0_ALEAST_1CRON","persons  at least a chronic disease","HSC","per 100 people with the same characteristics","2018","2018",39.5,,
"2","metropolitan area - centre","0_CHRONIC_HYP","chronic patients - with hypertension","THV","thousands value","2018","2018",1676,,
"ITD3","Veneto","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","HSC","per 100 people with the same characteristics","2018","2018",2.7,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","THV","thousands value","2018","2018",2,,
"ITC3","Liguria","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","THV","thousands value","2018","2018",291,,
"ITD4","Friuli-Venezia Giulia","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","THV","thousands value","2018","2018",49,,
"ITD5","Emilia-Romagna","0_CHRONIC_HYP","chronic patients - with hypertension","HSC","per 100 people with the same characteristics","2018","2018",17.2,,
"ITF3","Campania","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","HSC","per 100 people with the same characteristics","2018","2018",4.7,,
"ITF4","Puglia","0_CHRONIC_HEART","chronic patients - suffering from heart disease","THV","thousands value","2018","2018",175,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","0_CHRONIC_HYP","chronic patients - with hypertension","HSC","per 100 people with the same characteristics","2018","2018",16.3,,
"ITE4","Lazio","0_GOOD_H","persons  in good health","THV","thousands value","2018","2018",4124,,
"ITD5","Emilia-Romagna","0_CHRONIC_GH","persons  with chronic diseases in good health","THV","thousands value","2018","2018",840,,
"ITD5","Emilia-Romagna","0_CHRONIC_HEART","chronic patients - suffering from heart disease","THV","thousands value","2018","2018",203,,
"ITC","Nord-ovest","0_CHRONIC_HYP","chronic patients - with hypertension","THV","thousands value","2018","2018",2909,,
"ITC1","Piemonte","0_ALEAST_1CRON","persons  at least a chronic disease","HSC","per 100 people with the same characteristics","2018","2018",41.9,,
"ITF1","Abruzzo","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","THV","thousands value","2018","2018",87,,
"ITF6","Calabria","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","THV","thousands value","2018","2018",75,,
"ITG","Isole","0_CHRONIC_HYP","chronic patients - with hypertension","HSC","per 100 people with the same characteristics","2018","2018",18.8,,
"ITDA","Trentino Alto Adige / Südtirol","0_ALEAST_2CRON","persons  at least two chronic disease","THV","thousands value","2018","2018",153,,
"3","metropolitan area - suburbs","0_CHRONIC_HEART","chronic patients - suffering from heart disease","THV","thousands value","2018","2018",293,,
"ITF1","Abruzzo","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","HSC","per 100 people with the same characteristics","2018","2018",5.7,,
"ITE4","Lazio","0_GOOD_H","persons  in good health","HSC","per 100 people with the same characteristics","2018","2018",70.3,,
"ITC3","Liguria","0_CHRONIC_HYP","chronic patients - with hypertension","THV","thousands value","2018","2018",323,,
"ITC4","Lombardia","0_ALEAST_1CRON","persons  at least a chronic disease","THV","thousands value","2018","2018",4172,,
"ITE1","Toscana","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","THV","thousands value","2018","2018",425,,
"ITF1","Abruzzo","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","THV","thousands value","2018","2018",74,,
"ITDA","Trentino Alto Adige / Südtirol","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","THV","thousands value","2018","2018",40,,
"ITG2","Sardegna","0_CHRONIC_HYP","chronic patients - with hypertension","HSC","per 100 people with the same characteristics","2018","2018",19.3,,
"ITE3","Marche","0_ALEAST_1CRON","persons  at least a chronic disease","HSC","per 100 people with the same characteristics","2018","2018",39.1,,
"ITG1","Sicilia","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","THV","thousands value","2018","2018",526,,
"ITF3","Campania","0_GOOD_H","persons  in good health","HSC","per 100 people with the same characteristics","2018","2018",69.5,,
"ITD2","Provincia Autonoma Trento","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","THV","thousands value","2018","2018",25,,
"ITF2","Molise","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","HSC","per 100 people with the same characteristics","2018","2018",9.4,,
"ITD","Nord-est","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","HSC","per 100 people with the same characteristics","2018","2018",5.7,,
"ITD3","Veneto","0_ALEAST_1CRON","persons  at least a chronic disease","HSC","per 100 people with the same characteristics","2018","2018",41.3,,
